Sentiment,UserID,DateTime,Product,User,Comment,NO_Punctuations,Tokenized_Data,Stop_Words_Removed
4,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",stellargirl i loooooooovvvvvveee my kindle2 not that the dx is cool but the 2 is fantastic in its own right,"['stellargirl', 'i', 'loooooooovvvvvveee', 'my', 'kindle2', 'not', 'that', 'the', 'dx', 'is', 'cool', 'but', 'the', '2', 'is', 'fantastic', 'in', 'its', 'own', 'right']","['stellargirl', 'loooooooovvvvvveee', 'kindle2', 'dx', 'cool', '2', 'fantastic', 'right']"
4,4,Mon May 11 03:18:03 UTC 2009,kindle2,vcu451,Reading my kindle2...  Love it... Lee childs is good read.,reading my kindle2  love it lee childs is good read,"['reading', 'my', 'kindle2', 'love', 'it', 'lee', 'childs', 'is', 'good', 'read']","['reading', 'kindle2', 'love', 'lee', 'childs', 'good', 'read']"
4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",ok first assesment of the kindle2 it fucking rocks,"['ok', 'first', 'assesment', 'of', 'the', 'kindle2', 'it', 'fucking', 'rocks']","['ok', 'first', 'assesment', 'kindle2', 'fucking', 'rocks']"
4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),kenburbary youll love your kindle2 ive had mine for a few months and never looked back the new big one is huge no need for remorse ,"['kenburbary', 'youll', 'love', 'your', 'kindle2', 'ive', 'had', 'mine', 'for', 'a', 'few', 'months', 'and', 'never', 'looked', 'back', 'the', 'new', 'big', 'one', 'is', 'huge', 'no', 'need', 'for', 'remorse', '']","['kenburbary', 'youll', 'love', 'kindle2', 'ive', 'mine', 'months', 'never', 'looked', 'back', 'new', 'big', 'one', 'huge', 'need', 'remorse', '']"
4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),mikefish  fair enough but i have the kindle2 and i think its perfect  ,"['mikefish', 'fair', 'enough', 'but', 'i', 'have', 'the', 'kindle2', 'and', 'i', 'think', 'its', 'perfect', '']","['mikefish', 'fair', 'enough', 'kindle2', 'think', 'perfect', '']"
4,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,richardebaker no it is too big im quite happy with the kindle2,"['richardebaker', 'no', 'it', 'is', 'too', 'big', 'im', 'quite', 'happy', 'with', 'the', 'kindle2']","['richardebaker', 'big', 'im', 'quite', 'happy', 'kindle2']"
0,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,Fuck this economy. I hate aig and their non loan given asses.,fuck this economy i hate aig and their non loan given asses,"['fuck', 'this', 'economy', 'i', 'hate', 'aig', 'and', 'their', 'non', 'loan', 'given', 'asses']","['fuck', 'economy', 'hate', 'aig', 'non', 'loan', 'given', 'asses']"
4,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,Jquery is my new best friend.,jquery is my new best friend,"['jquery', 'is', 'my', 'new', 'best', 'friend']","['jquery', 'new', 'best', 'friend']"
4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,Loves twitter,loves twitter,"['loves', 'twitter']","['loves', 'twitter']"
4,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,how can you not love Obama? he makes jokes about himself.,how can you not love obama he makes jokes about himself,"['how', 'can', 'you', 'not', 'love', 'obama', 'he', 'makes', 'jokes', 'about', 'himself']","['love', 'obama', 'makes', 'jokes']"
